P,Zygo,Corr,Eda,comments,
1,,,,,
2,bad,bad,,,
3,,,,,
4,bad,,,,
5,,,,,
6,bad,,,,
7,bad,bad,,,
8,,bad,,,
9,,bad,,,
10,,,,,
11,,,,,
12,,bad,bad,,
13,,,,1,
14,,bad,,,
15,,bad,,,
16,,bad,,,
17,,,,,
18,,bad,,,
19,,bad,,,
20,,,,,
21,,not sure,not sure,,
22,bad,bad,,participant unwell,
23,,unsure,,,
24,,,,,
25,,unsure,unsure,,
26,,,,,
27,,unsure,unsure,,
28,,bad,,,
29,,bad,,,
30,,bad,bad,,
31,,unsure,,,
32,,noisy,,,
33,,noisy,,,
34,,,,,
35,,,,,
36,,noisy,,,
37,,noisy,,,
38,,,,,
39,,,,,
40,,noisy,,,
41,,,,,
42,,nosy,bad,,
43,,,,,
44,,,,,
45,,,,exclude (participant feel asleep,
46,,noisy,,,
47,,,unsure,,
48,,,,,
49,,noisy,,,
50,,,,,
51,,bad,,,
52,,bad,,,
53,,,,,
54,,bad,,,
55,,bad,,,
56,,,,,
57,,,not sure,,
58,,bad,,,
59,,,,,
60,unsure,,,,
61,,noisy,,,
62,,,,,
63,,noisy,,,
64,,noisy,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,participant unwell,
69,,noisy,,,
70,,bad,,,
71,,noisy,,,
72,,,,,
73,,,,,
74,,,,,
75,,noisy,,,
76,,,not sure,,
77,,,,,
78,,bad,strange lookiong,,
79,,,,,
80,,bad,,,
81,,,,,
82,,,,,
83,,noise,,,
84,,,,,
85,,noise',,,
86,,,,,
87,,noise,,,
88,,,,,
89,,,,,
90,,,,,
91,,noise,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,bad,,
97,,,,,
98,,,bad,,
99,,,,,
100,,lost contact,bad,bad,
101,,,,,
102,,,,bad,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,noisy,
117,,,,,
118,,,,noisy,
119,,,,,exclude language
120,,,,bad,